Name|Tranquill
Number|520
ExperienceType|2
BaseExperience|125
Type1|Normal
Type2|Flying
CatchRate|120
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|519
IsGenderLess|0
CanBreed|1
Devolution|519
IsMale|50
Ability1|145
Ability2|105
HiddenAbility|79
EggMoves|516,95,381,234,400,253,273,211
Machines|174,92,237,241,173,63,182,203,218,216,189,104,207,214,197,156,213,211,13,18,36,99,102,117,143,164,263,290,355,416,432,445,363,365,496,526,590,19
BaseHP|62
BaseAttack|77
BaseDefense|62
BaseSpAttack|50
BaseSpDefense|42
BaseSpeed|65
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|No matter where in the world it goes, it knows where its nest is, so it never gets seperated from its Trainer.\Wild Pigeon Pokémon\15\0.6\0,148,0
Scale|0.84
Move|1,16
Move|1,45
Move|1,43
Move|1,98
Move|4,45
Move|8,43
Move|11,98
Move|15,314
Move|18,355
Move|23,197
Move|27,269
Move|32,403
Move|36,13
Move|41,297
Move|45,207
Move|50,263
Move|54,366
Move|59,143
TradeValue|20
EvolutionCondition|521,Level,32,Level
