Name|Hitmonchan
Number|107
ExperienceType|1
BaseExperience|159
Type1|Fighting
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|6630
EggPokemon|236
IsGenderLess|0
CanBreed|1
Devolution|236
IsMale|100
Ability1|51
Ability2|89
HiddenAbility|39
EggMoves|418,68,203,364,270,136,183,170,228,229,410
Machines|223,29,174,92,249,237,241,173,63,182,240,203,218,216,189,104,8,207,214,129,9,197,156,213,7,5,25,34,36,38,66,68,69,99,102,117,118,130,164,264,339,263,290,411,409,416,445,363,490,496,514,523,526,612,590,431
BaseHP|50
BaseAttack|105
BaseDefense|79
BaseSpAttack|35
BaseSpDefense|110
BaseSpeed|76
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its punches slice the air. However it seems to need a short break after fighting for three minutes.\Punching Pokémon\50.2\1.4\0,148,0
Scale|1.16
Move|1,370
Move|1,68
Move|1,264
Move|1,279
Move|1,4
Move|6,97
Move|11,228
Move|16,183
Move|16,418
Move|21,364
Move|26,410
Move|31,501
Move|36,9
Move|36,8
Move|36,7
Move|41,327
Move|46,5
Move|50,197
Move|56,264
Move|61,68
Move|66,370
TradeValue|50
