Name|Hydreigon
Number|635
ExperienceType|3
BaseExperience|270
Type1|Dark
Type2|Dragon
CatchRate|45
BaseFriendship|35
EggGroup1|Dragon
EggGroup2|None
BaseEggSteps|10455
EggPokemon|633
IsGenderLess|0
CanBreed|1
Devolution|634
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|372,310,399,458,414,424,457,423,103,422
Machines|29,174,46,92,192,249,244,237,241,173,63,182,240,203,218,231,225,89,216,104,207,214,126,197,156,213,168,211,171,34,36,38,66,68,69,99,82,102,115,117,130,86,157,161,164,352,269,351,53,317,259,263,290,355,411,451,406,371,416,432,445,399,363,369,430,496,497,510,512,523,525,526,590,19,57,70,250,560
TutorMoves|434
BaseHP|92
BaseAttack|105
BaseDefense|90
BaseSpAttack|125
BaseSpDefense|90
BaseSpeed|98
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It responds to movement by attacking. This scary, three-headed Pokémon devours everything in its path!\Brutal Pokémon\160\1.8\0,148,0
Scale|1.32
Move|1,200
Move|1,304
Move|1,161
Move|1,82
Move|1,116
Move|1,44
Move|4,116
Move|9,44
Move|12,29
Move|17,225
Move|20,46
Move|25,242
Move|28,21
Move|32,406
Move|38,526
Move|42,407
Move|48,34
Move|55,184
Move|68,304
Move|79,200
TradeValue|75
