Name|Krokorok
Number|552
ExperienceType|2
BaseExperience|123
Type1|Ground
Type2|Dark
CatchRate|90
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|551
IsGenderLess|0
CanBreed|1
Devolution|551
IsMale|50
Ability1|22
Ability2|153
HiddenAbility|83
EggMoves|251,68,38,424,116,212,228,431,422,253
Machines|174,205,46,92,249,237,173,63,182,203,218,231,89,216,91,189,104,207,214,188,201,111,197,156,213,168,210,5,25,34,36,38,66,68,69,99,102,117,130,157,164,264,269,280,317,259,263,290,289,374,373,421,371,416,444,446,445,399,363,447,468,490,496,510,514,523,555,612,590,15,70,431
BaseHP|60
BaseAttack|82
BaseDefense|45
BaseSpAttack|45
BaseSpDefense|45
BaseSpeed|74
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Protected by thin membranes, their eyes can see even in the dead of night. They live in groups of a few individuals.\Desert Croc Pokémon\33.4\1\0,148,0
Scale|1
Move|1,43
Move|1,99
Move|1,44
Move|4,44
Move|10,259
Move|13,328
Move|16,372
Move|19,189
Move|22,373
Move|25,207
Move|28,242
Move|32,91
Move|36,184
Move|40,492
Move|44,201
Move|48,89
Move|52,37
TradeValue|45
EvolutionCondition|553,level,40,level
