Name|Lilligant
Number|549
ExperienceType|1
BaseExperience|168
Type1|Grass
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|5355
EggPokemon|549
IsGenderLess|0
CanBreed|1
Devolution|548
IsMale|0
Ability1|34
Ability2|20
HiddenAbility|102
EggMoves|117,204,203,320,361,275,363,230,388
Machines|174,92,237,241,230,173,63,182,202,203,218,76,216,104,207,214,197,156,213,34,36,99,72,102,117,164,331,263,290,412,416,445,363,496,267,590,148
BaseHP|70
BaseAttack|60
BaseDefense|75
BaseSpAttack|110
BaseSpDefense|75
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The fragrance of the garland on its head has a relaxing effect, but taking care of it is very difficult.\Flowering Pokémon\16.3\1.1\0,148,0
Scale|1.04
Move|1,74
Move|1,73
Move|1,72
Move|1,235
Move|10,298
Move|28,483
Move|46,80
Move|50,572
TradeValue|45
