Name|Flygon
Number|330
ExperienceType|2
BaseExperience|234
Type1|Ground
Type2|Dragon
CatchRate|45
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|5355
EggPokemon|328
IsGenderLess|0
CanBreed|1
Devolution|329
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|450,414,203,175,116,210,16,341,98,324
Machines|174,92,249,237,241,173,63,182,202,203,218,76,231,225,89,216,91,189,104,207,214,201,126,129,9,197,156,213,211,7,210,13,18,34,36,38,66,69,99,82,90,102,117,143,157,164,337,53,317,332,263,290,355,406,318,416,432,444,445,363,369,468,496,510,522,523,525,612,590,19,70,560
TutorMoves|434
BaseHP|80
BaseAttack|100
BaseDefense|80
BaseSpAttack|80
BaseSpDefense|80
BaseSpeed|100
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It is nicknamed "The Desert Spirit" because the flapping of its wings sounds like a woman singing.\Mystic Pokémon\82\2\0,148,0
Scale|1.4
Move|1,49
Move|1,28
Move|1,185
Move|1,328
Move|4,28
Move|7,185
Move|10,328
Move|13,189
Move|17,117
Move|21,523
Move|25,157
Move|29,48
Move|34,103
Move|35,225
Move|39,414
Move|44,201
Move|45,525
Move|49,63
Move|55,337
TradeValue|70
