Name|Pansear
Number|513
ExperienceType|1
BaseExperience|63
Type1|Fire
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|513
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|82
Ability2|Nothing
HiddenAbility|66
EggMoves|310,343,574,7,83,257,67,417,272,214,321
Machines|174,205,92,249,237,241,173,63,182,203,218,76,231,216,91,189,104,207,214,126,111,197,156,213,168,7,36,6,68,99,102,117,118,164,269,53,317,259,263,290,315,374,261,421,371,278,416,445,363,447,468,488,490,496,510,512,526,590
BaseHP|50
BaseAttack|53
BaseDefense|48
BaseSpAttack|53
BaseSpDefense|48
BaseSpeed|64
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Very intelligent, it roasts berries before eating them. It likes to help people.\High Temp Pokémon\11\0.6\0,148,0
Scale|0.84
Move|1,10
Move|1,589
Move|4,43
Move|7,122
Move|10,510
Move|13,154
Move|16,281
Move|19,44
Move|22,481
Move|25,133
Move|28,374
Move|31,512
Move|34,126
Move|37,278
Move|40,363
Move|43,242
TradeValue|15
Item|5,2036
Item|50,2006
EvolutionCondition|514,item,22,item
