Name|Marowak
Number|105
ExperienceType|1
BaseExperience|149
Type1|Ground
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|5355
EggPokemon|104
IsGenderLess|0
CanBreed|1
Devolution|104
IsMale|50
Ability1|69
Ability2|31
HiddenAbility|4
EggMoves|246,187,498,197,24,203,442,195,103,130,157,14
Machines|223,29,174,92,249,237,241,173,59,63,196,182,203,218,231,89,216,91,189,104,207,214,201,126,9,197,156,213,168,7,5,14,25,34,36,38,66,68,69,99,90,102,117,157,164,264,280,53,317,332,263,290,411,206,374,416,444,446,445,363,479,496,497,510,514,523,612,590,70,431
BaseHP|60
BaseAttack|80
BaseDefense|110
BaseSpAttack|50
BaseSpDefense|80
BaseSpeed|45
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has been seen pounding boulders with the bone it carries in order to tap out messages to others.\Bone Keeper Pokémon\45\1\0,148,0
Scale|1
Move|1,45
Move|1,39
Move|1,125
Move|1,29
Move|3,39
Move|7,125
Move|11,29
Move|13,43
Move|17,116
Move|21,155
Move|23,99
Move|27,206
Move|33,37
Move|37,374
Move|43,198
Move|49,283
Move|53,38
Move|59,514
TradeValue|40
Item|5,118
