Name|Aurorus
Number|699
ExperienceType|1
BaseExperience|188
Type1|Rock
Type2|Ice
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|7680
EggPokemon|698
IsGenderLess|0
CanBreed|1
Devolution|698
IsMale|87.5
Ability1|174
Ability2|Nothing
HiddenAbility|117
EggMoves|112,435,114,393,243
Machines|174,46,92,249,237,173,59,63,196,182,203,218,225,216,189,104,8,207,214,201,138,197,156,213,34,36,58,99,85,102,115,117,130,86,157,164,352,347,258,113,219,317,363,290,451,416,397,444,419,446,445,399,363,430,496,497,523,524,525,267,590,148
BaseHP|123
BaseAttack|77
BaseDefense|72
BaseSpAttack|99
BaseSpDefense|92
BaseSpeed|58
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The diamond-shaped crystals on its body expel air as cold as -240 degrees Fahrenheit, surrounding its enemies and encasing them in ice.\Tundra Pokémon\225.0\2.7\0,148,0
Scale|1
Move|1,45
Move|1,181
Move|1,573
Move|5,86
Move|10,88
Move|13,196
Move|15,36
Move|18,54
Move|20,62
Move|26,246
Move|30,496
Move|34,419
Move|38,258
Move|43,267
Move|46,227
Move|50,113
Move|56,58
Move|63,63
Move|74,59
Move|77,573
TradeValue|65
