Name|Feebas
Number|349
ExperienceType|1
BaseExperience|40
Type1|Water
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|349
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|33
Ability2|12
HiddenAbility|91
EggMoves|362,445,109,406,225,114,95,231,243,54,300,321,113
Machines|174,92,237,173,59,63,196,182,240,203,218,216,104,207,214,129,197,156,213,36,61,55,58,99,102,117,164,352,263,290,416,445,363,496,503,590,57,250,127,291
BaseHP|20
BaseAttack|15
BaseDefense|20
BaseSpAttack|10
BaseSpDefense|55
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It is the shabbiest Pokémon of all. It forms in schools and lives at the bottom of rivers.\Fish Pokémon\7.4\0.6\0,148,0
Scale|0.84
Move|1,150
Move|15,33
Move|30,175
TradeValue|5
EvolutionCondition|350,holditem,83,trade
