Name|Luvdisc
Number|370
ExperienceType|0
BaseExperience|116
Type1|Water
Type2|
CatchRate|225
BaseFriendship|70
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|370
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|25
Ability1|33
Ability2|Nothing
HiddenAbility|93
EggMoves|453,392,362,445,494,505,300,150,48,346
Machines|174,92,244,237,173,59,63,196,182,240,203,218,216,104,207,214,129,197,156,213,61,55,58,99,102,117,164,352,258,219,263,290,362,416,445,363,496,503,590,57,250,127,291
BaseHP|43
BaseAttack|30
BaseDefense|55
BaseSpAttack|40
BaseSpDefense|65
BaseSpeed|97
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Its heart-shaped body makes it popular. In some places, you would give a LUVDISC to someone you love.\Rendezvous Pokémon\8.7\0.6\0,148,0
Scale|0.84
Move|1,33
Move|4,204
Move|7,55
Move|9,97
Move|14,36
Move|17,381
Move|22,352
Move|27,213
Move|31,175
Move|37,186
Move|40,56
Move|46,392
Move|51,445
Move|55,219
TradeValue|35
Item|50,190
