Name|Carvanha
Number|318
ExperienceType|3
BaseExperience|61
Type1|Water
Type2|Dark
CatchRate|225
BaseFriendship|35
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|318
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|24
Ability2|Nothing
HiddenAbility|3
EggMoves|246,362,194,38,56,129,37
Machines|174,92,237,173,59,63,196,182,240,203,218,216,189,104,207,214,129,197,156,213,168,210,36,61,55,58,99,102,117,130,164,352,258,269,259,263,290,362,371,416,445,399,363,496,503,514,555,590,57,250,127,291
BaseHP|45
BaseAttack|90
BaseDefense|20
BaseSpAttack|65
BaseSpDefense|20
BaseSpeed|65
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They form packs to attack boats and rip out their hulls to sink them. They live in rivers in the jungle.\Savage Pokémon\20.8\0.8\0,148,0
Scale|0.92
Move|1,43
Move|1,44
Move|6,99
Move|8,116
Move|11,184
Move|16,423
Move|18,103
Move|21,207
Move|26,372
Move|28,242
Move|31,453
Move|36,97
Move|38,36
TradeValue|45
Item|5,167
EvolutionCondition|319,level,30,level
