Name|Weedle
Number|13
ExperienceType|1
BaseExperience|39
Type1|Bug
Type2|Poison
CatchRate|255
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|13
IsGenderLess|0
IsMale|50
Ability1|19
Ability2|Nothing
HiddenAbility|50
Machines|
BaseHP|40
BaseAttack|35
BaseDefense|30
BaseSpAttack|20
BaseSpDefense|20
BaseSpeed|50
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.\Hairy Bug Pokémon\3.2\0.3\0,148,0
Scale|0.7
Move|1,40
Move|1,81
Move|15,450
EvolutionCondition|14,Level,7,Level
TradeValue|5
