Name|Donphan
Number|232
ExperienceType|1
BaseExperience|175
Type1|Ground
Type2|
CatchRate|60
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|231
IsGenderLess|0
CanBreed|1
Devolution|231
IsMale|50
Ability1|5
Ability2|Nothing
HiddenAbility|8
EggMoves|246,34,68,283,90,116,457,484,420,189,583,173,55
Machines|29,174,205,46,92,249,237,241,173,63,182,203,218,231,89,216,189,104,207,214,111,197,156,213,25,32,34,36,38,68,99,90,102,117,130,164,263,290,416,446,445,363,496,523,590,70,560
BaseHP|90
BaseAttack|120
BaseDefense|120
BaseSpAttack|60
BaseSpDefense|60
BaseSpeed|50
FPHP|0
FPAttack|1
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has sharp rugged hide. Its tackle is strong enough to knock down a house.\Armor Pokémon\120\1.1\0,148,0
Scale|1.04
Move|1,424
Move|1,422
Move|1,30
Move|1,45
Move|1,111
Move|1,523
Move|6,229
Move|10,282
Move|15,205
Move|19,222
Move|24,21
Move|25,31
Move|31,372
Move|39,184
Move|46,89
Move|54,416
TradeValue|25
Item|5,2036
