Name|Frillish
Number|592
ExperienceType|1
BaseExperience|67
Type1|Water
Type2|Ghost
CatchRate|190
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|592
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|11
Ability2|130
HiddenAbility|6
EggMoves|151,109,132,54,220,105
Machines|174,92,244,237,173,59,63,196,182,240,202,203,218,216,94,247,104,207,214,188,138,197,156,213,171,61,55,58,99,102,117,149,164,352,258,269,219,351,263,290,412,362,261,416,419,445,399,363,433,482,496,503,605,590,57,148,250,127,291
BaseHP|55
BaseAttack|40
BaseDefense|50
BaseSpAttack|65
BaseSpDefense|85
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If its veil-like arms stun and wrap a foe, that foe will be dragged miles below the surface, never to return.\Floating Pokémon\33\1.2\0,148,0
Scale|1.08
Move|1,145
Move|1,346
Move|5,71
Move|9,101
Move|13,61
Move|17,105
Move|22,352
Move|27,466
Move|32,362
Move|37,240
Move|43,506
Move|49,56
Move|55,378
Move|61,323
TradeValue|30
EvolutionCondition|593,Level,40,Level
