Name|Burmy
Number|412
ExperienceType|1
BaseExperience|45
Type1|Bug
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|412
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|61
Ability2|Nothing
HiddenAbility|142
Machines|
BaseHP|40
BaseAttack|29
BaseDefense|45
BaseSpAttack|29
BaseSpDefense|45
BaseSpeed|36
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It covers itself with a cloak to shelter from the cold. When it’s hot, its cloak is thinner.\Bagworm Pokémon\3.4\0.2\0,148,0
Scale|0.7
Move|1,182
Move|10,33
Move|15,450
Move|20,237
TradeValue|20
EvolutionCondition|413,level,20,level
EvolutionCondition|413,gender,1,level
EvolutionCondition|414,level,20,level
EvolutionCondition|414,gender,0,level
