Name|Tangela
Number|114
ExperienceType|1
BaseExperience|87
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Grass
EggGroup2|None
BaseEggSteps|5355
EggPokemon|114
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|34
Ability2|102
HiddenAbility|144
EggMoves|133,93,283,175,202,437,73,72,363,267,384,476,115
Machines|29,174,92,249,244,237,241,230,173,63,182,202,203,218,76,216,104,207,214,197,156,213,34,36,99,72,102,117,130,164,331,263,290,412,416,445,363,447,496,611,590,70,148
BaseHP|65
BaseAttack|55
BaseDefense|115
BaseSpAttack|100
BaseSpDefense|40
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The vines that cloak its entire body are always jiggling. They effectively unnerve its foes.\Vine Pokémon\35\1\0,148,0
Scale|1
Move|1,275
Move|1,132
Move|4,79
Move|7,22
Move|10,71
Move|14,77
Move|17,20
Move|20,74
Move|23,72
Move|27,282
Move|30,78
Move|33,363
Move|36,202
Move|38,246
Move|41,21
Move|44,321
Move|46,378
Move|48,580
Move|50,438
TradeValue|35
EvolutionCondition|465,move,246,Level
