Name|Swellow
Number|277
ExperienceType|2
BaseExperience|151
Type1|Normal
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|276
IsGenderLess|0
CanBreed|1
Devolution|276
IsMale|50
Ability1|62
Ability2|Nothing
HiddenAbility|113
EggMoves|586,413,432,119,228,99,287,355,143,211,48,18
Machines|174,92,237,241,173,63,182,203,218,216,189,104,207,214,129,197,156,213,168,211,13,18,36,99,102,117,143,164,332,263,290,355,416,432,445,363,365,369,496,497,526,590,19
BaseHP|60
BaseAttack|85
BaseDefense|60
BaseSpAttack|50
BaseSpDefense|50
BaseSpeed|125
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It dives at a steep angle as soon as it spots its prey. It catches its prey with sharp claws.\Swallow Pokémon\19.8\0.7\0,148,0
Scale|0.88
Move|1,403
Move|1,365
Move|1,64
Move|1,45
Move|1,116
Move|1,98
Move|4,116
Move|7,98
Move|13,17
Move|19,104
Move|28,283
Move|38,332
Move|49,97
Move|61,403
TradeValue|30
Item|5,2046
