Name|Grovyle
Number|253
ExperienceType|2
BaseExperience|142
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|252
IsGenderLess|0
CanBreed|1
Devolution|252
IsMale|87.5
Ability1|65
Ability2|Nothing
HiddenAbility|84
EggMoves|331,242,306,24,225,283,320,580,437,73,345,300,363,13,235,388,202
Machines|223,174,92,249,237,241,173,63,182,202,203,218,76,231,216,91,189,104,207,214,129,9,197,156,213,210,5,25,34,36,66,68,69,99,72,102,117,130,164,264,331,280,317,332,263,290,412,206,374,409,416,445,363,490,496,267,612,590,15,70
BaseHP|50
BaseAttack|65
BaseDefense|45
BaseSpAttack|85
BaseSpDefense|65
BaseSpeed|95
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It leaps from tree branch to tree branch quite swiftly. It shows astounding agility.\Wood Gecko Pokémon\21.6\0.9\0,148,0
Scale|0.96
Move|1,1
Move|1,43
Move|1,71
Move|1,98
Move|6,71
Move|11,98
Move|16,210
Move|17,228
Move|23,103
Move|29,348
Move|35,97
Move|41,21
Move|47,197
Move|53,206
Move|59,437
TradeValue|60
EvolutionCondition|254,level,36,level
