Name|Beldum
Number|374
ExperienceType|2
BaseExperience|60
Type1|Steel
Type2|Psychic
CatchRate|3
BaseFriendship|35
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|10455
EggPokemon|374
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|29
Ability2|Nothing
HiddenAbility|135
Machines|
BaseHP|40
BaseAttack|55
BaseDefense|80
BaseSpAttack|35
BaseSpDefense|60
BaseSpeed|30
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The magnetic force generated by its body repels the ground's natural magnetism, letting it float. \Iron Ball Pokémon\95.2\0.6\0,148,0
Scale|0.84
Move|1,36
TradeValue|40
Item|5,143
EvolutionCondition|375,Level,20,Level
