Name|Walrein
Number|365
ExperienceType|2
BaseExperience|239
Type1|Ice
Type2|Water
CatchRate|45
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|363
IsGenderLess|0
CanBreed|1
Devolution|364
IsMale|50
Ability1|47
Ability2|115
HiddenAbility|12
EggMoves|392,187,174,90,205,324,214,255,254,256,352,346,281,157
Machines|174,205,46,92,249,237,173,59,63,196,182,240,203,218,231,89,216,189,104,207,214,111,197,156,213,210,34,36,38,61,55,58,99,90,102,117,130,157,164,352,258,317,263,290,362,416,419,445,363,496,523,524,590,57,70,250,127,291
BaseHP|110
BaseAttack|80
BaseDefense|90
BaseSpAttack|95
BaseSpDefense|90
BaseSpeed|65
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It shatters drift ice with its strong tusks. Its thick layer of blubber repels enemy attacks.\Ice Break Pokémon\150.6\1.4\0,148,0
Scale|1.16
Move|1,242
Move|1,181
Move|1,45
Move|1,55
Move|1,227
Move|7,227
Move|13,301
Move|19,34
Move|25,62
Move|31,258
Move|32,207
Move|39,156
Move|39,173
Move|44,423
Move|52,59
Move|65,329
TradeValue|70
