Name|Smoochum
Number|238
ExperienceType|1
BaseExperience|61
Type1|Ice
Type2|Psychic
CatchRate|45
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|6630
EggPokemon|238
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|0
Ability1|12
Ability2|108
HiddenAbility|93
EggMoves|445,252,8,96,357,417,358,273,244,142
Machines|223,174,92,244,237,230,173,59,63,196,182,203,218,216,94,247,189,104,8,207,214,138,197,156,213,168,171,5,25,34,36,58,6,66,68,69,99,100,102,115,117,118,130,149,164,352,347,258,113,263,290,285,374,371,278,416,419,445,363,447,433,473,496,497,524,526,590,148
BaseHP|45
BaseAttack|30
BaseDefense|15
BaseSpAttack|85
BaseSpDefense|65
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its lips are the most sensitive part of its body. It always uses its lips first to examine things.\Kiss Pokémon\6\0.4\0,148,0
Scale|0.7
Move|1,1
Move|5,122
Move|8,186
Move|11,181
Move|15,93
Move|18,47
Move|21,531
Move|25,212
Move|28,313
Move|31,381
Move|35,419
Move|38,94
Move|41,383
Move|45,195
Move|48,59
TradeValue|20
Item|100,2004
EvolutionCondition|124,level,30,level
