Name|Nidorino
Number|33
ExperienceType|2
BaseExperience|128
Type1|Poison
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|32
IsGenderLess|0
IsMale|100
Ability1|38
Ability2|79
HiddenAbility|55
EggMoves|133,251,498,93,68,50,203,457,231,342,389,48,36,599
Machines|29,174,46,92,249,237,241,173,59,63,182,240,203,218,231,87,216,91,189,104,207,214,188,111,197,156,213,168,32,34,36,61,55,58,68,99,85,102,117,130,164,352,351,263,290,421,416,445,363,398,468,474,496,497,590,15,70,560
BaseHP|61
BaseAttack|72
BaseDefense|57
BaseSpAttack|55
BaseSpDefense|55
BaseSpeed|65
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It raises its big ears to check its surroundings. If it senses anything, it attacks immediately.\Poison Pin Pokémon\19.5\0.9\0,148,0
Scale|0.96
Move|1,43
Move|1,64
Move|7,116
Move|9,24
Move|13,40
Move|20,31
Move|23,30
Move|28,270
Move|35,390
Move|38,260
Move|43,398
Move|50,445
Move|58,32
EvolutionCondition|34,item,8,item
TradeValue|25
