Name|Prinplup
Number|394
ExperienceType|2
BaseExperience|142
Type1|Water
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|393
IsGenderLess|0
CanBreed|1
Devolution|393
IsMale|87.5
Ability1|67
Ability2|Nothing
HiddenAbility|128
EggMoves|97,392,117,458,297,175,56,196,189,300,173,48,281
Machines|223,174,92,249,237,173,59,63,196,182,240,203,218,216,91,189,104,207,214,197,156,213,34,36,61,55,58,99,102,117,130,164,352,258,280,317,332,263,290,362,374,421,416,432,446,445,363,447,365,468,496,497,503,511,590,57,70,250,127,291
BaseHP|64
BaseAttack|66
BaseDefense|68
BaseSpAttack|81
BaseSpDefense|76
BaseSpeed|50
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.\Penguin Pokémon\23\0.8\0,148,0
Scale|0.92
Move|1,33
Move|1,45
Move|4,45
Move|8,145
Move|11,346
Move|15,64
Move|16,232
Move|19,61
Move|24,117
Move|28,31
Move|33,362
Move|37,250
Move|42,54
Move|46,65
Move|50,56
TradeValue|60
EvolutionCondition|395,level,36,level
