Name|Mega Kangaskhan
Number|115
ExperienceType|1
BaseExperience|172
Type1|Normal
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|5355
EggPokemon|115
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|0
Ability1|185
Ability2|Nothing
HiddenAbility|185
EggMoves|509,68,306,50,38,283,116,264,193,359,23,376,219,164
Machines|223,29,174,46,92,192,249,237,241,173,59,63,196,182,240,203,218,76,231,87,89,216,91,247,189,104,8,207,214,201,126,9,197,156,213,168,7,210,5,25,34,36,38,61,55,58,66,68,69,99,85,90,102,117,130,157,164,264,352,258,219,280,351,53,317,332,263,290,411,374,409,421,416,419,445,363,496,510,514,523,526,612,590,15,57,70,250,431,560
BaseHP|105
BaseAttack|125
BaseDefense|100
BaseSpAttack|60
BaseSpDefense|100
BaseSpeed|100
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If it is safe the belly pouch to play. The adult keeps a close eye on the youngster.\Parent Pokémon\100\2.2\0,148,0
Scale|1.48
Move|1,4
Move|1,43
Move|7,252
Move|10,39
Move|13,44
Move|19,458
Move|22,99
Move|25,5
Move|31,498
Move|34,146
Move|37,242
Move|43,203
Move|46,200
Move|49,389
Move|50,179
TradeValue|85
