Name|Skorupi
Number|451
ExperienceType|3
BaseExperience|66
Type1|Poison
Type2|Bug
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|Water3
BaseEggSteps|5355
EggPokemon|451
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|4
Ability2|97
HiddenAbility|51
EggMoves|97,109,185,231,400,342,228,103,163,41,18
Machines|174,92,249,237,241,173,63,182,240,203,218,231,216,91,247,189,104,207,214,188,197,156,213,168,210,171,14,25,36,99,72,102,117,164,269,280,317,332,259,263,290,206,374,371,416,445,399,404,363,398,468,474,496,522,611,590,15,70,148
BaseHP|40
BaseAttack|50
BaseDefense|90
BaseSpAttack|30
BaseSpDefense|55
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It burrows under the sand to lie in wait for prey. Its tail claws can inject its prey with a savage poison.\Scorpion Pokémon\12\0.8\0,148,0
Scale|0.92
Move|1,44
Move|1,40
Move|1,43
Move|5,282
Move|9,42
Move|13,367
Move|16,228
Move|20,450
Move|23,305
Move|27,474
Move|30,468
Move|34,390
Move|38,400
Move|41,184
Move|45,242
Move|47,565
Move|49,440
TradeValue|30
Item|5,81
EvolutionCondition|452,Level,40,Level
