Name|Ivysaur
Number|2
ExperienceType|2
BaseExperience|142
Type1|Grass
Type2|Poison
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|1
IsGenderLess|0
IsMale|87.5
Ability1|65
Ability2|Nothing
HiddenAbility|34
EggMoves|133,204,174,203,202,320,275,437,345,267,80,438,130,124,580
Machines|29,174,92,249,237,241,230,173,63,182,202,203,218,76,216,189,104,207,214,188,111,197,156,213,210,14,34,36,99,72,102,117,164,331,113,219,263,290,412,416,445,363,447,474,496,497,267,590,15,70,148
BaseHP|60
BaseAttack|62
BaseDefense|63
BaseSpAttack|80
BaseSpDefense|80
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.\Seed Pokémon\13\1\0,148,0
Scale|1
Move|1,33
Move|1,45
Move|1,73
Move|3,45
Move|7,73
Move|9,22
Move|13,77
Move|13,79
Move|15,36
Move|20,75
Move|23,230
Move|28,74
Move|31,38
Move|36,388
Move|39,235
Move|44,76
EvolutionCondition|3,Level,32,Level
TradeValue|60
