Name|Cobalion
Number|638
ExperienceType|3
BaseExperience|261
Type1|Steel
Type2|Fighting
CatchRate|3
BaseFriendship|35
EggGroup1|None
EggGroup2|None
BaseEggSteps|20655
EggPokemon|638
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|154
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,46,92,249,244,237,173,63,182,203,218,216,104,207,214,201,129,197,156,213,14,25,32,34,36,38,68,99,102,115,117,130,86,164,347,269,219,332,263,290,411,206,416,397,444,446,445,404,363,398,430,468,496,514,521,526,590,15,70,431,560
BaseHP|91
BaseAttack|90
BaseDefense|129
BaseSpAttack|90
BaseSpDefense|72
BaseSpeed|108
FPHP|0
FPAttack|0
FPDefense|3
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It has a body and heart of steel. It worked with its allies to punish people when they hurt Pokémon.\Iron Will Pokémon\250\2.1\0,148,0
Scale|1.44
Move|1,370
Move|1,368
Move|1,526
Move|1,501
Move|1,98
Move|1,43
Move|7,24
Move|13,232
Move|19,36
Move|25,270
Move|31,514
Move|37,442
Move|42,533
Move|49,14
Move|55,501
Move|61,526
Move|67,368
Move|73,370
TradeValue|85
