Name|Serperior
Number|497
ExperienceType|2
BaseExperience|238
Type1|Grass
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|495
IsGenderLess|0
CanBreed|1
Devolution|496
IsMale|87.5
Ability1|65
Ability2|Nothing
HiddenAbility|126
EggMoves|445,137,580,231,345,212,243,363,228,230,239
Machines|174,92,249,237,241,173,63,182,202,203,218,76,231,216,91,104,207,214,197,156,213,34,36,38,68,99,72,82,102,117,118,130,164,331,263,290,289,412,406,416,445,363,496,525,267,590,70,560
TutorMoves|338
BaseHP|75
BaseAttack|75
BaseDefense|95
BaseSpAttack|75
BaseSpDefense|95
BaseSpeed|113
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|3
CanFly|0
CanSwim|0
Pokedex|It only gives its all fighting against strong opponents who are not fazed by the glare from Serperior's noble eyes.\Regal Pokémon\63\3.3\0,148,0
Scale|2
Move|1,33
Move|1,43
Move|1,22
Move|4,43
Move|7,22
Move|13,74
Move|16,536
Move|20,73
Move|24,72
Move|28,21
Move|32,348
Move|38,489
Move|44,202
Move|50,378
Move|56,380
Move|62,437
TradeValue|70
