Name|Swinub
Number|220
ExperienceType|3
BaseExperience|50
Type1|Ice
Type2|Ground
CatchRate|225
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|220
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|12
Ability2|81
HiddenAbility|47
EggMoves|246,419,44,34,174,38,90,573,556,333,341,446,36,157
Machines|29,174,46,92,249,237,173,59,63,196,182,203,218,89,216,91,189,104,207,214,201,111,197,156,213,34,36,58,99,102,115,117,157,164,258,113,317,263,290,416,446,445,363,496,523,590,70
BaseHP|50
BaseAttack|50
BaseDefense|40
BaseSpAttack|30
BaseSpDefense|30
BaseSpeed|50
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It rubs its snout on the ground to find and dig up food. It sometimes discovers hot springs.\Pig Pokémon\6.5\0.4\0,148,0
Scale|0.7
Move|1,33
Move|1,316
Move|5,300
Move|8,181
Move|11,189
Move|14,203
Move|18,426
Move|21,196
Move|24,420
Move|28,36
Move|35,54
Move|37,89
Move|40,175
Move|44,59
Move|48,133
TradeValue|10
EvolutionCondition|221,Level,33,Level
