Name|Staryu
Number|120
ExperienceType|3
BaseExperience|68
Type1|Water
Type2|
CatchRate|225
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|120
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|35
Ability2|30
HiddenAbility|148
Machines|174,92,192,244,237,173,59,63,196,182,240,203,218,87,216,94,104,207,214,129,197,156,213,36,38,61,55,58,99,85,100,102,115,117,130,86,149,161,164,352,258,113,263,290,362,278,416,360,445,363,430,496,503,605,590,57,148,250,127,291
BaseHP|30
BaseAttack|45
BaseDefense|55
BaseSpAttack|70
BaseSpDefense|55
BaseSpeed|85
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|1
Pokedex|At night slowly flickers with the same rhythm as a human heartbeat.\Star Shape Pokémon\34.5\0.8\0,148,0
Scale|0.92
Move|1,33
Move|1,106
Move|6,55
Move|10,229
Move|12,105
Move|15,293
Move|18,129
Move|22,61
Move|25,107
Move|30,360
Move|33,113
Move|36,362
Move|40,513
Move|43,408
Move|48,322
Move|52,56
TradeValue|20
Item|5,132
Item|50,131
EvolutionCondition|121,item,24,item
