Name|Simisear
Number|514
ExperienceType|1
BaseExperience|174
Type1|Fire
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|513
IsGenderLess|0
CanBreed|1
Devolution|513
IsMale|87.5
Ability1|82
Ability2|Nothing
HiddenAbility|66
EggMoves|310,343,574,7,83,257,67,417,272,214,321
Machines|223,174,205,92,249,237,241,173,63,182,203,218,76,231,216,91,189,104,207,214,126,111,197,156,213,168,7,171,5,25,34,36,38,6,66,68,69,99,102,117,118,130,157,164,264,269,280,53,317,259,263,290,315,411,374,261,421,371,278,416,445,363,447,468,488,490,496,510,512,526,612,590,431
BaseHP|75
BaseAttack|98
BaseDefense|63
BaseSpAttack|98
BaseSpDefense|63
BaseSpeed|101
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|When it gets excited, embers rise from its head and tail and it gets hot. For some reason, it loves sweets.\Ember Pokémon\28\1\0,148,0
Scale|1
Move|1,43
Move|1,122
Move|1,154
Move|1,481
TradeValue|40
Item|5,2036
Item|50,2006
