Name|Vibrava
Number|329
ExperienceType|2
BaseExperience|119
Type1|Ground
Type2|Dragon
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|5355
EggPokemon|328
IsGenderLess|0
CanBreed|1
Devolution|328
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|450,414,203,175,116,210,16,341,98,324
Machines|174,92,249,237,241,173,63,182,202,203,218,76,225,89,216,91,189,104,207,214,201,129,197,156,213,211,210,13,18,34,36,99,82,90,102,117,157,164,317,263,290,355,406,318,416,432,445,363,369,496,522,523,590,19,70,560
TutorMoves|434
BaseHP|50
BaseAttack|70
BaseDefense|50
BaseSpAttack|50
BaseSpDefense|50
BaseSpeed|70
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It vibrates its wings vigorously creating ultrasonic waves that cause serious headaches.\Vibration Pokémon\15.3\1.1\0,148,0
Scale|1.04
Move|1,49
Move|1,28
Move|1,185
Move|1,328
Move|4,28
Move|7,185
Move|10,328
Move|13,189
Move|17,117
Move|21,523
Move|25,157
Move|29,48
Move|34,103
Move|35,225
Move|39,414
Move|44,201
Move|49,63
TradeValue|45
Item|5,76
EvolutionCondition|330,level,45,level
