Name|Vanilluxe
Number|584
ExperienceType|3
BaseExperience|241
Type1|Ice
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|5355
EggPokemon|582
IsGenderLess|0
CanBreed|1
Devolution|583
IsMale|50
Ability1|115
Ability2|Nothing
HiddenAbility|133
EggMoves|475,420,334,286,393,363,181,352
Machines|174,92,237,173,59,63,196,182,203,218,216,104,207,214,197,156,213,34,36,38,58,99,102,117,153,164,352,258,269,113,263,290,416,419,445,363,430,496,524,590
BaseHP|71
BaseAttack|95
BaseDefense|85
BaseSpAttack|110
BaseSpDefense|95
BaseSpeed|79
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Swallowing large amounts of water, they make snow clouds inside their bodies and, when angry, cause violent blizzards.\Snowstorm Pokémon\57.5\1.3\0,148,0
Scale|1.12
Move|1,329
Move|1,573
Move|1,311
Move|1,333
Move|1,106
Move|1,310
Move|1,253
Move|4,106
Move|7,310
Move|10,253
Move|13,196
Move|16,54
Move|19,419
Move|22,269
Move|26,429
Move|31,151
Move|36,58
Move|42,258
Move|50,243
Move|59,59
Move|67,329
TradeValue|70
