Name|Furret
Number|162
ExperienceType|1
BaseExperience|145
Type1|Normal
Type2|
CatchRate|90
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|161
IsGenderLess|0
CanBreed|1
Devolution|161
IsMale|50
Ability1|50
Ability2|51
HiddenAbility|119
EggMoves|274,445,204,343,38,116,231,387,363,228,179,163,271,164
Machines|223,29,174,205,92,249,237,241,173,59,63,182,240,203,218,76,231,87,216,91,247,189,104,8,207,214,129,111,9,197,156,213,168,7,210,34,36,38,61,55,58,6,99,85,102,117,130,149,164,264,352,280,351,53,263,290,411,374,451,421,416,445,363,447,369,468,496,497,514,526,612,590,15,57,70,250
BaseHP|85
BaseAttack|76
BaseDefense|64
BaseSpAttack|45
BaseSpDefense|55
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It makes a nest to suit its long and skinny body. The nest is impossible for other Pokémon to enter.\Long Body Pokémon\32.5\1.8\0,148,0
Scale|1.32
Move|1,10
Move|1,193
Move|1,111
Move|1,98
Move|4,111
Move|7,98
Move|13,154
Move|17,270
Move|21,266
Move|28,21
Move|32,156
Move|36,389
Move|42,133
Move|46,226
Move|50,382
Move|56,304
TradeValue|20
Item|50,2006
Item|5,2009
