Name|Gurdurr
Number|533
ExperienceType|2
BaseExperience|142
Type1|Fighting
Type2|
CatchRate|90
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|5355
EggPokemon|532
IsGenderLess|0
CanBreed|1
Devolution|532
IsMale|75
Ability1|62
Ability2|125
HiddenAbility|89
EggMoves|4,68,197,409,203,395,193,183,179,469
Machines|223,174,92,249,237,241,173,63,182,240,203,218,89,216,91,104,8,207,214,9,197,156,213,7,5,25,34,36,38,66,68,69,99,102,117,130,157,164,264,339,269,280,317,263,290,411,374,409,371,416,444,445,363,398,447,479,490,496,514,526,612,590,15,70,431
BaseHP|85
BaseAttack|105
BaseDefense|85
BaseSpAttack|40
BaseSpDefense|50
BaseSpeed|40
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|With strengthened bodies, they skillfully wield steel beams to take down buildings.\Muscular Pokémon\40\1.2\0,148,0
Scale|1.08
Move|1,1
Move|1,43
Move|1,116
Move|1,117
Move|4,116
Move|8,117
Move|12,67
Move|16,88
Move|20,358
Move|24,498
Move|29,339
Move|33,157
Move|37,223
Move|41,184
Move|45,359
Move|49,444
Move|53,264
Move|57,276
TradeValue|40
EvolutionCondition|534,trade,0,trade
