Name|Poliwag
Number|60
ExperienceType|2
BaseExperience|60
Type1|Water
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|water1
EggGroup2|None
BaseEggSteps|5355
EggPokemon|60
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|11
Ability2|6
HiddenAbility|33
EggMoves|61,227,283,203,114,301,170,54,341,287,150,352,346
Machines|29,174,92,237,173,59,63,196,182,240,203,218,216,91,94,104,207,214,111,197,156,213,168,34,36,61,55,58,68,99,102,117,130,149,164,352,258,263,290,416,445,363,496,503,612,590,57,250,127,291
BaseHP|40
BaseAttack|50
BaseDefense|40
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Because it is inept at walking on its newly grown legs, it always swims around in water.\Tadpole Pokémon\12.4\0.6\0,148,0
Scale|0.84
Move|1,346
Move|5,55
Move|8,95
Move|11,145
Move|15,3
Move|18,240
Move|21,34
Move|25,61
Move|28,341
Move|31,187
Move|35,358
Move|38,56
Move|41,426
TradeValue|10
EvolutionCondition|61,Level,25,Level
