Name|Alomomola
Number|594
ExperienceType|0
BaseExperience|165
Type1|Water
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water2
BaseEggSteps|10455
EggPokemon|594
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|131
Ability2|93
HiddenAbility|144
EggMoves|203,243,54,220,287,321
Machines|174,92,244,237,173,59,63,196,182,240,203,218,216,94,247,104,207,214,197,156,213,36,61,55,58,99,102,117,164,352,347,258,113,219,263,290,362,416,419,445,363,496,503,590,57,250,127,291
BaseHP|165
BaseAttack|75
BaseDefense|80
BaseSpAttack|40
BaseSpDefense|45
BaseSpeed|65
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It gently holds injured and weak Pokémon in its fins. Its special membrane heals their wounds.\Caring Pokémon\31.6\1.2\0,148,0
Scale|1.08
Move|1,56
Move|1,469
Move|1,361
Move|1,1
Move|1,346
Move|5,392
Move|9,453
Move|13,3
Move|17,505
Move|21,182
Move|25,352
Move|29,358
Move|33,487
Move|37,273
Move|41,362
Move|45,219
Move|49,270
Move|53,469
Move|57,361
Move|61,56
TradeValue|40
