Name|Cottonee
Number|546
ExperienceType|1
BaseExperience|56
Type1|Grass
Type2|Fairy
CatchRate|190
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|546
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|158
Ability2|151
HiddenAbility|34
EggMoves|251,445,227,313,320,262,363,415,321,388
Machines|174,92,237,241,173,63,182,202,203,218,76,216,104,207,214,111,138,197,156,213,99,72,102,117,164,331,269,219,263,290,412,416,445,363,447,496,605,590,148
BaseHP|40
BaseAttack|27
BaseDefense|60
BaseSpAttack|37
BaseSpDefense|50
BaseSpeed|66
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Perhaps because they feel more at ease in a group, they stick to others they find. They end up looking like a cloud.\Cotton Puff Pokémon\0.6\0.3\0,148,0
Scale|0.7
Move|1,71
Move|1,584
Move|4,74
Move|8,73
Move|10,78
Move|13,72
Move|17,178
Move|19,75
Move|22,77
Move|26,202
Move|28,204
Move|31,270
Move|35,412
Move|37,538
Move|40,241
Move|44,283
Move|46,76
TradeValue|20
EvolutionCondition|547,item,169,item
