Name|Hippowdon
Number|450
ExperienceType|3
BaseExperience|184
Type1|Ground
Type2|
CatchRate|60
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|7905
EggPokemon|449
IsGenderLess|0
CanBreed|1
Devolution|449
IsMale|50
Ability1|45
Ability2|Nothing
HiddenAbility|159
EggMoves|34,174,279,328,303,214,255,254,256,18
Machines|174,46,92,249,237,241,173,63,182,203,218,231,89,216,91,189,104,207,214,201,197,156,213,25,34,36,38,99,90,102,117,120,157,164,352,317,263,290,416,444,446,445,363,496,523,590,70,560
BaseHP|108
BaseAttack|112
BaseDefense|118
BaseSpAttack|68
BaseSpDefense|72
BaseSpeed|47
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It brandishes its gaping mouth in a display of fearsome strength. It raises vast quantities of sand while attacking.\Heavyweight Pokémon\300\2\0,148,0
Scale|1.4
Move|1,423
Move|1,424
Move|1,422
Move|1,33
Move|1,28
Move|1,44
Move|1,281
Move|7,44
Move|13,281
Move|19,36
Move|19,91
Move|25,328
Move|31,242
Move|40,89
Move|50,38
Move|60,90
TradeValue|65
