Name|Mightyena
Number|262
ExperienceType|1
BaseExperience|147
Type1|Dark
Type2|
CatchRate|127
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|261
IsGenderLess|0
CanBreed|1
Devolution|261
IsMale|50
Ability1|22
Ability2|95
HiddenAbility|153
EggMoves|310,343,424,423,43,382,583,305,289,389,422,281,214
Machines|174,46,92,249,237,241,173,63,182,240,203,218,231,216,91,247,189,104,207,214,197,156,213,168,25,34,36,38,68,99,102,117,130,164,269,259,263,290,289,373,371,416,445,399,363,496,510,514,555,590,70,560
BaseHP|70
BaseAttack|90
BaseDefense|70
BaseSpAttack|60
BaseSpDefense|60
BaseSpeed|70
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.\Bite Pokémon\37\1\0,148,0
Scale|1
Move|1,242
Move|1,33
Move|1,336
Move|1,28
Move|1,44
Move|5,336
Move|9,28
Move|13,44
Move|17,316
Move|22,46
Move|27,207
Move|32,372
Move|37,184
Move|42,269
Move|47,373
Move|52,36
Move|57,168
Move|62,389
Move|65,242
TradeValue|35
Item|5,2002
