Name|Wigglytuff
Number|40
ExperienceType|0
BaseExperience|191
Type1|Normal
Type2|Fairy
CatchRate|50
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|None
BaseEggSteps|2805
EggPokemon|174
Devolution|39
IsGenderLess|0
IsMale|25
Ability1|56
Ability2|Nothing
HiddenAbility|132
EggMoves|445,343,313,185,356,505,387,581,195,217,386,214,273
Machines|223,29,174,205,92,192,244,237,241,173,59,63,182,240,203,218,76,87,216,91,94,247,189,104,8,207,214,126,111,9,138,197,156,213,7,171,5,34,36,38,61,55,58,66,68,69,99,85,100,102,115,117,118,130,86,149,161,164,264,352,113,219,280,351,53,263,290,289,411,374,451,409,278,416,360,446,445,363,447,496,497,510,514,526,528,612,605,590,70,148
BaseHP|140
BaseAttack|70
BaseDefense|45
BaseSpAttack|85
BaseSpDefense|50
BaseSpeed|45
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Their fur feels so good that if two of them snuggle together, they won't want to be separated.\Balloon Pokémon\12\1\0,148,0
Scale|1
Move|1,3
Move|1,38
Move|1,47
Move|1,50
Move|1,111
Move|1,583
TradeValue|35
