Name|Snorlax
Number|143
ExperienceType|3
BaseExperience|189
Type1|Normal
Type2|
CatchRate|25
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|10455
EggPokemon|446
IsGenderLess|0
CanBreed|1
Devolution|446
IsMale|87.5
Ability1|17
Ability2|47
HiddenAbility|82
EggMoves|495,562,204,68,174,38,90,122,363,228,120,18,428,164
Machines|223,29,174,205,92,192,249,244,237,241,173,59,63,196,182,240,203,218,76,87,89,216,94,247,189,104,8,207,214,201,126,111,9,197,156,213,7,5,25,34,36,38,61,55,58,6,66,68,69,99,85,90,102,117,118,120,130,149,157,164,264,352,280,351,53,317,263,290,411,374,278,416,445,363,479,496,510,514,523,526,528,612,590,57,70,250,431
BaseHP|160
BaseAttack|110
BaseDefense|65
BaseSpAttack|65
BaseSpDefense|110
BaseSpeed|30
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|What sounds like its cry may actually be its snores or the rumblings of its hungry belly.\Sleeping Pokémon\460\2.1\0,148,0
Scale|1.44
Move|1,33
Move|4,111
Move|9,133
Move|12,122
Move|17,498
Move|20,281
Move|25,34
Move|28,156
Move|28,173
Move|33,214
Move|36,205
Move|41,335
Move|44,187
Move|49,242
Move|50,484
Move|57,416
TradeValue|75
Item|100,146
