Name|Sawsbuck
Number|586
ExperienceType|1
BaseExperience|166
Type1|Normal
Type2|Grass
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|585
IsGenderLess|0
CanBreed|1
Devolution|585
IsMale|50
Ability1|34
Ability2|157
HiddenAbility|32
EggMoves|97,226,313,320,363,316,214,235,388
Machines|174,92,249,237,241,173,63,182,202,203,218,76,216,247,189,104,207,214,129,197,156,213,14,25,32,34,36,38,68,99,72,102,117,130,86,164,331,113,219,263,290,412,416,445,363,447,496,497,514,526,528,267,590,15,148,431,560
BaseHP|80
BaseAttack|100
BaseDefense|70
BaseSpAttack|60
BaseSpDefense|70
BaseSpeed|95
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They migrate according to the seasons, so some people call Sawsbuck the harbingers of spring.\Season Pokémon\92.5\1.9\0,148,0
Scale|1.36
Move|1,224
Move|1,33
Move|1,293
Move|1,45
Move|1,28
Move|4,45
Move|7,28
Move|10,24
Move|13,73
Move|16,185
Move|20,36
Move|24,26
Move|28,312
Move|32,412
Move|36,204
Move|37,532
Move|44,267
Move|52,38
Move|60,76
TradeValue|45
