Name|Caterpie
Number|10
ExperienceType|1
BaseExperience|39
Type1|Bug
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|10
IsGenderLess|0
IsMale|50
Ability1|19
Ability2|Nothing
HiddenAbility|50
Machines|
BaseHP|45
BaseAttack|30
BaseDefense|35
BaseSpAttack|20
BaseSpDefense|20
BaseSpeed|45
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|For protection, it releases a horrible stench from the antennae on its head to drive away enemies.\Worm Pokémon\2.9\0.3\0,148,0
Scale|0.7
Move|1,81
Move|1,33
Move|15,450
EvolutionCondition|11,Level,7,Level
TradeValue|5
