Name|Mega Mawile
Number|303
ExperienceType|0
BaseExperience|133
Type1|Steel
Type2|Fairy
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|Fairy
BaseEggSteps|5355
EggPokemon|303
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|37
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|246,445,424,385,423,368,581,305,386,69,21,389,422,206,244,14,321
Machines|223,174,92,249,244,237,241,173,63,196,182,240,203,218,76,216,247,189,104,8,207,214,188,201,126,9,197,156,213,5,14,25,34,36,58,6,66,68,69,99,102,117,130,157,164,264,269,280,53,317,259,263,290,411,206,374,451,373,371,416,444,445,399,363,447,430,496,510,612,590,15,70
BaseHP|50
BaseAttack|105
BaseDefense|125
BaseSpAttack|55
BaseSpDefense|95
BaseSpeed|50
FPHP|0
FPAttack|1
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It chomps with its gaping mouth. Its huge jaws are actually steel horns that have been transformed.\Deceiver Pokémon\23.5\1\0,148,0
Scale|0.84
Move|1,583
Move|1,442
Move|1,269
Move|1,45
Move|1,584
Move|1,310
Move|6,313
Move|11,44
Move|16,230
Move|21,11
Move|26,185
Move|31,226
Move|36,242
Move|41,334
Move|46,389
Move|50,254
Move|50,256
Move|50,255
Move|56,442
Move|60,583
TradeValue|40
Item|5,2035
