Name|Eelektross
Number|604
ExperienceType|3
BaseExperience|232
Type1|Electric
Type2|
CatchRate|30
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|602
IsGenderLess|0
CanBreed|1
Devolution|603
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
Machines|29,174,46,92,192,249,237,173,63,182,240,202,203,218,231,87,216,104,207,214,9,197,156,213,7,210,34,36,38,66,68,69,99,82,85,102,117,130,86,157,164,337,113,280,351,53,317,263,290,451,409,416,445,363,447,369,430,468,496,512,521,525,528,612,590,15,70,148,560
BaseHP|85
BaseAttack|115
BaseDefense|80
BaseSpAttack|105
BaseSpDefense|80
BaseSpeed|50
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It latches onto prey with its sucker mouth, sinking in its fangs and shocking the prey with powerful electricity.\EleFish Pokémon\80.5\2.1\0,148,0
Scale|1.44
Move|1,37
Move|1,192
Move|1,380
Move|1,489
Move|1,569
Move|1,306
Move|1,29
Move|1,51
Move|1,435
Move|1,242
TradeValue|65
