Name|Mareep
Number|179
ExperienceType|2
BaseExperience|56
Type1|Electric
Type2|
CatchRate|235
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|179
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|9
Ability2|Nothing
HiddenAbility|57
EggMoves|495,97,34,268,598,604,260,231,316,28,103,36,115,219,85
Machines|29,174,92,192,237,173,63,182,240,203,218,231,87,216,104,207,214,129,111,197,156,213,34,36,99,85,102,117,130,86,164,113,219,351,263,290,374,451,416,445,363,496,497,521,528,590,148
BaseHP|55
BaseAttack|40
BaseDefense|40
BaseSpAttack|65
BaseSpDefense|45
BaseSpeed|35
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If static electricity builds in its body, its fleece doubles in volume. Touching it will shock you.\Wool Pokémon\7.8\0.6\0,148,0
Scale|0.84
Move|1,33
Move|1,45
Move|4,86
Move|8,84
Move|11,178
Move|15,268
Move|18,36
Move|22,486
Move|25,109
Move|29,408
Move|32,435
Move|36,538
Move|39,324
Move|43,113
Move|46,87
TradeValue|10
EvolutionCondition|180,Level,15,Level
