Name|Monferno
Number|391
ExperienceType|2
BaseExperience|142
Type1|Fire
Type2|Fighting
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|HumanLike
BaseEggSteps|5355
EggPokemon|390
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|66
Ability2|Nothing
HiddenAbility|89
EggMoves|274,299,68,24,227,252,7,116,264,257,270,501,66,9
Machines|223,174,205,92,249,237,241,173,63,182,203,218,231,216,189,104,207,214,126,129,111,9,197,156,213,7,5,25,34,36,6,66,68,69,99,102,117,130,164,264,263,290,411,416,446,445,363,468,488,490,496,510,526,612,590,15,70,431
BaseHP|64
BaseAttack|78
BaseDefense|52
BaseSpAttack|78
BaseSpDefense|52
BaseSpeed|81
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|A bigger fire on its tail and a brighter blue pattern on its face means its rank in its pack is higher.\Playful Pokémon\22\0.9\0,148,0
Scale|0.96
Move|1,10
Move|1,43
Move|1,52
Move|7,52
Move|9,269
Move|14,183
Move|16,154
Move|19,172
Move|26,364
Move|29,259
Move|36,370
Move|39,83
Move|46,512
Move|49,303
Move|56,394
TradeValue|60
EvolutionCondition|392,level,36,level
