Name|Electrike
Number|309
ExperienceType|3
BaseExperience|59
Type1|Electric
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|309
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|9
Ability2|31
HiddenAbility|58
EggMoves|242,174,435,598,486,424,481,29,423,351,129,415,422,253
Machines|174,46,92,192,237,173,63,182,240,203,218,231,87,216,189,104,207,214,129,197,156,213,168,34,36,99,85,102,117,130,86,164,113,351,53,263,290,451,416,445,363,496,521,528,555,590,70,148
BaseHP|40
BaseAttack|45
BaseDefense|40
BaseSpAttack|65
BaseSpDefense|40
BaseSpeed|65
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It stores electricity in its fur. It gives off sparks from all over its body in seasons when the air is dry.\Lightning Pokémon\15.2\0.6\0,148,0
Scale|0.84
Move|1,33
Move|4,86
Move|9,43
Move|12,336
Move|17,98
Move|20,209
Move|25,316
Move|28,44
Move|33,422
Move|36,46
Move|41,435
Move|44,268
Move|49,528
Move|52,87
TradeValue|25
EvolutionCondition|310,level,26,level
