Name|Relicanth
Number|369
ExperienceType|3
BaseExperience|170
Type1|Water
Type2|Rock
CatchRate|25
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water2
BaseEggSteps|10455
EggPokemon|1
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|33
Ability2|69
HiddenAbility|5
EggMoves|133,401,362,222,341,189,330,130,214,173,346,428,157
Machines|174,92,249,244,237,173,59,63,196,182,240,203,218,89,216,189,104,207,214,201,197,156,213,34,36,61,55,58,99,102,117,130,157,164,352,347,258,219,317,263,290,362,416,397,444,446,445,363,479,496,503,523,590,57,250,127,291
BaseHP|100
BaseAttack|90
BaseDefense|130
BaseSpAttack|45
BaseSpDefense|65
BaseSpeed|55
FPHP|1
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Discovered by chance during deep-sea explorations, it has not changed since ancient times.\Longevity Pokémon\23.4\1\0,148,0
Scale|1
Move|1,457
Move|1,56
Move|1,246
Move|1,300
Move|1,33
Move|1,106
Move|8,55
Move|15,317
Move|22,281
Move|29,36
Move|36,300
Move|43,246
Move|50,38
Move|57,291
Move|64,156
Move|71,56
Move|78,457
TradeValue|40
Item|5,162
