Name|Phanpy
Number|231
ExperienceType|1
BaseExperience|66
Type1|Ground
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|231
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|53
Ability2|Nothing
HiddenAbility|8
EggMoves|246,34,68,283,90,116,457,484,420,189,583,173,55
Machines|29,174,205,46,92,249,237,241,173,63,182,203,218,231,89,216,189,104,207,214,111,197,156,213,25,34,36,68,99,90,102,117,130,164,263,290,416,446,445,363,496,523,590,70,560
BaseHP|90
BaseAttack|60
BaseDefense|60
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|40
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It swings its long snout around playfully, but because it is so strong, that can be dangerous.\Long Nose Pokémon\33.5\0.5\0,148,0
Scale|0.7
Move|1,316
Move|1,33
Move|1,45
Move|1,111
Move|6,175
Move|10,36
Move|15,205
Move|19,363
Move|24,21
Move|28,203
Move|33,204
Move|37,387
Move|42,38
TradeValue|15
Item|5,2036
EvolutionCondition|232,Level,25,Level
