Name|Palkia
Number|484
ExperienceType|3
BaseExperience|306
Type1|Water
Type2|Dragon
CatchRate|30
BaseFriendship|0
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|484
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|46
Ability2|Nothing
HiddenAbility|140
Machines|223,174,46,92,192,249,244,237,241,173,59,63,182,240,203,218,225,87,89,216,189,104,207,214,201,126,129,197,156,213,210,5,25,34,36,38,61,55,58,66,68,69,99,82,85,90,102,117,130,86,157,161,164,264,337,352,258,339,280,351,53,317,332,263,290,411,362,374,406,421,416,444,419,445,363,433,468,496,497,510,523,525,590,15,57,70,250,560,291
TutorMoves|434
BaseHP|90
BaseAttack|120
BaseDefense|100
BaseSpAttack|150
BaseSpDefense|120
BaseSpeed|100
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its total control over the boundaries of space enable it to transport itself to faraway places or even other dimensions.\Spatial Pokémon\336\4.2\0,148,0
Scale|2
Move|1,225
Move|1,184
Move|6,352
Move|10,246
Move|15,163
Move|19,408
Move|24,401
Move|28,337
Move|33,414
Move|37,396
Move|42,401
Move|46,460
Move|50,56
TradeValue|100
