Name|Abra
Number|63
ExperienceType|2
BaseExperience|62
Type1|Psychic
Type2|
CatchRate|200
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|5355
EggPokemon|63
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|75
Ability1|28
Ability2|39
HiddenAbility|98
EggMoves|502,112,227,7,470,385,8,282,379,375,285,94,9,113
Machines|223,29,174,92,192,244,237,241,173,63,182,240,203,218,231,216,94,247,104,8,207,214,9,138,197,156,213,168,7,171,5,34,36,66,68,69,99,100,102,115,117,118,130,86,149,161,164,264,347,269,113,219,351,259,263,290,285,289,412,374,451,409,373,278,416,445,363,447,433,473,477,496,502,605,590,148
BaseHP|25
BaseAttack|20
BaseDefense|15
BaseSpAttack|105
BaseSpDefense|55
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It senses impending attacks and teleports away to safety before the actual attacks can strike.\Psi Pokémon\19.5\0.9\0,148,0
Scale|0.96
Move|1,100
TradeValue|25
Item|5,96
EvolutionCondition|64,Level,16,Level
