Name|Cloyster
Number|91
ExperienceType|3
BaseExperience|184
Type1|Water
Type2|Ice
CatchRate|60
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|90
IsGenderLess|0
CanBreed|1
Devolution|90
IsMale|50
Ability1|75
Ability2|92
HiddenAbility|142
EggMoves|333,350,36,41,392,419,112,61,341,229,103
Machines|174,92,237,241,173,59,63,196,182,240,203,218,216,104,207,214,129,197,156,213,36,38,61,55,58,99,100,102,117,120,153,161,164,352,258,259,263,290,362,371,416,419,445,363,398,496,524,590,57,250,291
BaseHP|50
BaseAttack|95
BaseDefense|180
BaseSpAttack|85
BaseSpDefense|45
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|Once it slams its shell shut it is impossible to open, even by those with superior strength.\Bivalve Pokémon\132.5\1.5\0,148,0
Scale|1.2
Move|1,56
Move|1,504
Move|1,390
Move|1,110
Move|1,48
Move|1,182
Move|1,62
Move|13,131
Move|28,191
Move|50,556
TradeValue|35
Item|5,111
Item|50,110
