Name|Gastly
Number|92
ExperienceType|2
BaseExperience|62
Type1|Ghost
Type2|Poison
CatchRate|190
BaseFriendship|70
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|92
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|26
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|310,499,50,7,288,114,8,195,149,513,184,123,9,153,261
Machines|174,92,192,244,237,241,173,63,182,240,202,203,218,216,94,247,104,207,214,188,138,197,156,213,168,171,99,72,85,102,117,120,149,153,164,269,259,263,290,285,289,412,261,373,371,416,445,399,363,433,474,477,496,611,605,590
BaseHP|30
BaseAttack|35
BaseDefense|30
BaseSpAttack|100
BaseSpDefense|35
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|With its gas-like body, it can sneak into any place it desires. However, it can be blown away by wind.\Gas Pokémon\0.1\1.3\0,148,0
Scale|1.12
Move|1,95
Move|1,122
Move|5,180
Move|8,212
Move|12,174
Move|15,101
Move|19,109
Move|22,389
Move|26,371
Move|29,247
Move|33,138
Move|36,399
Move|40,194
Move|43,506
Move|47,171
TradeValue|10
EvolutionCondition|93,Level,25,Level
