Name|Purugly
Number|432
ExperienceType|0
BaseExperience|158
Type1|Normal
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|431
IsGenderLess|0
CanBreed|1
Devolution|431
IsMale|25
Ability1|47
Ability2|20
HiddenAbility|128
EggMoves|372,44,313,175,387,98,28,289,39,358
Machines|174,205,46,92,192,244,237,241,173,63,182,240,203,218,231,87,216,91,247,189,104,207,214,129,111,138,197,156,213,168,210,171,25,34,36,38,6,99,85,102,117,130,164,352,269,351,332,259,263,290,289,421,371,416,445,363,369,468,496,497,514,523,526,590,148,560
BaseHP|71
BaseAttack|82
BaseDefense|64
BaseSpAttack|64
BaseSpDefense|59
BaseSpeed|112
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It would claim another Pokémon’s nest as its own if it finds a nest sufficiently comfortable.\Tiger Cat Pokémon\43.8\1\0,148,0
Scale|1
Move|1,252
Move|1,10
Move|1,45
Move|5,10
Move|8,45
Move|13,95
Move|17,185
Move|20,154
Move|25,204
Move|29,274
Move|32,445
Move|37,163
Move|38,207
Move|45,34
Move|52,213
Move|60,468
TradeValue|45
Item|5,2000
