Name|Delphox
Number|655
ExperienceType|2
BaseExperience|240
Type1|Fire
Type2|Psychic
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|653
IsGenderLess|0
CanBreed|1
Devolution|654
IsMale|87.5
Ability1|66
Ability2|Nothing
HiddenAbility|170
EggMoves|257,95,277,273
Machines|174,92,244,237,241,173,63,182,203,218,76,216,94,247,104,207,214,126,129,9,138,197,156,213,168,7,210,171,5,34,36,38,66,68,69,99,100,102,117,118,130,149,161,164,264,347,113,219,53,263,290,285,289,315,261,373,278,416,445,363,447,433,473,477,488,496,497,503,510,612,590,15,431
TutorMoves|307
BaseHP|75
BaseAttack|69
BaseDefense|72
BaseSpAttack|114
BaseSpDefense|100
BaseSpeed|104
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Using psychic power, it generates a fiery vortex of 5,400 degree Fahrenheit, incinerating foes swept into this whirl of flame.\Fox Pokémon\39.0\1.5\0,148,0
Scale|1.1
Move|1,248
Move|1,272
Move|1,415
Move|1,247
Move|1,10
Move|1,39
Move|5,52
Move|11,336
Move|14,488
Move|18,60
Move|22,83
Move|27,381
Move|30,113
Move|34,473
Move|36,595
Move|42,53
Move|47,261
Move|51,94
Move|55,241
Move|58,478
Move|61,126
Move|69,248
Move|75,595
TradeValue|70
EvolutionCondition|650,level,16,level
