Name|Jigglypuff
Number|39
ExperienceType|0
BaseExperience|95
Type1|Normal
Type2|Fairy
CatchRate|170
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|None
BaseEggSteps|2805
EggPokemon|174
Devolution|174
IsGenderLess|0
IsMale|25
Ability1|56
Ability2|Nothing
HiddenAbility|132
EggMoves|445,343,313,185,356,505,387,581,195,217,386,214,273
Machines|223,29,174,205,92,192,244,237,241,173,59,63,182,240,203,218,76,87,216,91,94,247,189,104,8,207,214,126,111,9,138,197,156,213,7,171,5,34,36,61,55,58,66,68,69,99,85,100,102,115,117,118,130,86,149,161,164,264,352,113,219,280,351,53,263,290,289,374,451,409,278,416,360,446,445,363,447,496,497,510,514,526,528,612,605,590,70,148
BaseHP|115
BaseAttack|45
BaseDefense|20
BaseSpAttack|45
BaseSpDefense|25
BaseSpeed|20
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If it inflates to sing a lullaby it can perform longer and cause sure drowsiness in its audience.\Balloon Pokémon\5.5\0.5\0,148,0
Scale|0.7
Move|1,47
Move|5,111
Move|7,1
Move|10,589
Move|13,50
Move|17,496
Move|21,205
Move|25,3
Move|29,156
Move|33,34
Move|37,360
Move|41,358
Move|45,102
Move|48,304
Move|50,574
Move|53,38
EvolutionCondition|40,item,8,item
TradeValue|25
