Name|Mienfoo
Number|619
ExperienceType|2
BaseExperience|70
Type1|Fighting
Type2|
CatchRate|180
BaseFriendship|70
EggGroup1|Field
EggGroup2|HumanLike
BaseEggSteps|6630
EggPokemon|619
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|39
Ability2|144
HiddenAbility|120
EggMoves|502,226,203,364,282,67,382,265,233
Machines|223,174,92,249,244,237,241,173,63,182,240,203,218,216,91,189,104,207,214,129,197,156,213,210,5,14,25,34,36,6,66,68,69,99,102,115,117,118,157,164,264,347,339,269,280,317,332,263,290,411,409,371,416,444,445,363,398,447,369,490,496,512,514,526,612,590,70,431
BaseHP|45
BaseAttack|85
BaseDefense|50
BaseSpAttack|55
BaseSpDefense|50
BaseSpeed|65
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It takes pride in the speed at which it can use moves. What it loses in power, it makes up for in quantity.\Martial Arts Pokémon\20\0.9\0,148,0
Scale|0.96
Move|1,1
Move|5,96
Move|9,197
Move|13,252
Move|17,3
Move|21,129
Move|25,347
Move|29,395
Move|33,409
Move|37,26
Move|41,369
Move|45,501
Move|49,340
Move|50,136
Move|57,179
Move|61,396
TradeValue|30
EvolutionCondition|620,level,50,level
