Name|Genesect
Number|649
ExperienceType|3
BaseExperience|270
Type1|Bug
Type2|Steel
CatchRate|3
BaseFriendship|0
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|649
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|88
Ability2|Nothing
HiddenAbility|Nothing
Machines|223,174,92,192,237,173,59,63,182,202,203,218,216,104,207,214,197,156,213,210,5,25,34,36,38,58,66,68,69,99,102,117,120,130,164,264,351,263,290,412,318,278,416,445,399,363,468,496,590,19
BaseHP|71
BaseAttack|120
BaseDefense|95
BaseSpAttack|120
BaseSpDefense|95
BaseSpeed|99
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.\Paleozoic Pokemon\85.2\1.5\0,148,0
Scale|1.10
Move|1,565
Move|1,546
Move|1,98
Move|1,393
Move|1,232
Move|1,103
Move|7,210
Move|11,199
Move|18,488
Move|22,443
Move|29,163
Move|33,319
Move|40,324
Move|44,161
Move|51,404
Move|55,405
Move|62,493
Move|66,192
Move|73,63
Move|77,120
TradeValue|120
