Name|Patrat
Number|504
ExperienceType|1
BaseExperience|51
Type1|Normal
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|504
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|50
Ability2|51
HiddenAbility|148
EggMoves|372,193,175,231,228,279,103
Machines|174,205,92,237,241,173,63,182,240,203,218,231,216,91,247,189,104,207,214,129,111,197,156,213,210,5,14,36,6,66,68,69,99,85,102,117,118,130,164,264,263,290,374,416,445,363,447,496,514,526,590,15
BaseHP|45
BaseAttack|55
BaseDefense|39
BaseSpAttack|35
BaseSpDefense|39
BaseSpeed|42
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Extremely cautious, one of them will always be on the lookout, but it won't notice a foe coming from behind.\Scout Pokémon\11.6\0.5\0,148,0
Scale|0.7
Move|1,33
Move|3,43
Move|6,44
Move|8,117
Move|11,197
Move|16,242
Move|18,95
Move|21,162
Move|23,495
Move|26,526
Move|28,158
Move|31,212
Move|33,226
Move|36,21
TradeValue|5
EvolutionCondition|505,Level,20,Level
