Name|Kakuna
Number|14
ExperienceType|1
BaseExperience|72
Type1|Bug
Type2|Poison
CatchRate|120
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|13
IsGenderLess|0
IsMale|50
Ability1|61
Ability2|Nothing
HiddenAbility|Nothing
Machines|
BaseHP|45
BaseAttack|25
BaseDefense|50
BaseSpAttack|25
BaseSpDefense|25
BaseSpeed|35
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked.\Cocoon Pokémon\10\0.6\0,148,0
Scale|0.84
Move|1,106
Move|7,106
EvolutionCondition|15,Level,10,Level
TradeValue|5
