Name|Raticate
Number|20
ExperienceType|1
BaseExperience|145
Type1|Normal
Type2|
CatchRate|127
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|4080
EggPokemon|19
IsGenderLess|0
IsMale|50
Ability1|50
Ability2|62
HiddenAbility|55
EggMoves|207,44,68,515,172,154,387,382,279,179,103,253
Machines|29,174,92,249,237,241,173,59,63,196,182,240,203,218,231,87,216,91,247,189,104,207,214,129,111,197,156,213,168,34,36,38,61,55,58,68,99,85,102,117,130,86,164,269,351,263,290,451,416,445,363,447,365,369,496,526,528,590,15,70
BaseHP|55
BaseAttack|81
BaseDefense|60
BaseSpAttack|50
BaseSpDefense|70
BaseSpeed|97
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnawing on them.\Mouse Pokémon\18.5\0.7\0,148,0
Scale|0.88
Move|1,14
Move|1,33
Move|1,39
Move|1,98
Move|1,116
Move|4,98
Move|7,116
Move|10,44
Move|13,228
Move|16,158
Move|19,389
Move|20,184
Move|24,242
Move|29,372
Move|34,162
Move|39,38
Move|44,283
Item|5,2051
TradeValue|20
